Graph,Exact-CP,Metaheuristic-ACO,NeuroCP-LNS
662_bus.mtx.gz,1.0,3.0,2.0
ash219.mtx.gz,1.5,3.0,1.5
ash292.mtx.gz,3.0,2.0,1.0
ash331.mtx.gz,3.0,2.0,1.0
ash608.mtx.gz,3.0,2.0,1.0
ash85.mtx.gz,1.5,3.0,1.5
ash958.mtx.gz,1.0,3.0,2.0
bcspwr01.mtx.gz,1.5,3.0,1.5
bcspwr02.mtx.gz,2.0,2.0,2.0
bcspwr03.mtx.gz,1.5,3.0,1.5
bcspwr04.mtx.gz,1.0,3.0,2.0
bcspwr05.mtx.gz,1.0,3.0,2.0
bcspwr06.mtx.gz,1.0,3.0,2.0
bcsstk01.mtx.gz,1.5,3.0,1.5
bcsstk02.mtx.gz,2.0,2.0,2.0
bcsstk03.mtx.gz,2.0,2.0,2.0
bcsstk04.mtx.gz,1.0,2.5,2.5
