Graph,Exact-CP,Metaheuristic-ACO,NeuroCP-LNS
662_bus.mtx.gz,3.0,2.0,1.0
ash219.mtx.gz,1.0,3.0,2.0
ash292.mtx.gz,2.0,3.0,1.0
ash331.mtx.gz,1.5,3.0,1.5
ash608.mtx.gz,1.0,3.0,2.0
ash85.mtx.gz,2.0,3.0,1.0
ash958.mtx.gz,1.0,3.0,2.0
bcspwr01.mtx.gz,2.5,2.5,1.0
bcspwr02.mtx.gz,3.0,1.5,1.5
bcspwr03.mtx.gz,1.5,3.0,1.5
bcspwr04.mtx.gz,3.0,2.0,1.0
bcspwr05.mtx.gz,3.0,2.0,1.0
bcspwr06.mtx.gz,3.0,2.0,1.0
bcspwr07.mtx.gz,3.0,2.0,1.0
bcsstk01.mtx.gz,1.5,3.0,1.5
bcsstk02.mtx.gz,2.0,2.0,2.0
bcsstk03.mtx.gz,2.0,2.0,2.0
bcsstk04.mtx.gz,2.0,2.0,2.0
bp_____0.mtx.gz,3.0,2.0,1.0
can_1054.mtx.gz,3.0,2.0,1.0
can_1072.mtx.gz,3.0,2.0,1.0
can__144.mtx.gz,3.0,1.5,1.5
can__161.mtx.gz,2.0,2.0,2.0
can__187.mtx.gz,3.0,2.0,1.0
can___24.mtx.gz,2.0,2.0,2.0
can___61.mtx.gz,2.0,2.0,2.0
can___73.mtx.gz,1.5,3.0,1.5
cavity01.mtx.gz,2.0,2.0,2.0
cavity02.mtx.gz,2.0,2.0,2.0
cavity03.mtx.gz,2.0,2.0,2.0
cavity04.mtx.gz,2.0,2.0,2.0
cdde1.mtx.gz,3.0,2.0,1.0
cdde2.mtx.gz,3.0,2.0,1.0
cdde3.mtx.gz,3.0,2.0,1.0
cdde4.mtx.gz,3.0,2.0,1.0
cdde5.mtx.gz,3.0,2.0,1.0
cdde6.mtx.gz,3.0,2.0,1.0
ck104.mtx.gz,2.0,2.0,2.0
ck400.mtx.gz,3.0,1.0,2.0
ck656.mtx.gz,3.0,2.0,1.0
curtis54.mtx.gz,1.5,3.0,1.5
dwt__162.mtx.gz,2.0,3.0,1.0
dwt__193.mtx.gz,2.5,2.5,1.0
dwt__198.mtx.gz,3.0,2.0,1.0
dwt__209.mtx.gz,2.0,3.0,1.0
dwt__221.mtx.gz,3.0,2.0,1.0
dwt__245.mtx.gz,3.0,2.0,1.0
dwt__310.mtx.gz,2.0,3.0,1.0
dwt__346.mtx.gz,3.0,2.0,1.0
dwt__361.mtx.gz,3.0,2.0,1.0
dwt__419.mtx.gz,3.0,2.0,1.0
dwt__492.mtx.gz,3.0,2.0,1.0
dwt__503.mtx.gz,3.0,2.0,1.0
dwt__512.mtx.gz,3.0,2.0,1.0
dwt__918.mtx.gz,3.0,1.0,2.0
dwt__992.mtx.gz,3.0,2.0,1.0
dwt___59.mtx.gz,3.0,1.5,1.5
dwt___66.mtx.gz,3.0,2.0,1.0
dwt___72.mtx.gz,1.5,1.5,3.0
dwt___87.mtx.gz,1.5,3.0,1.5
e05r0000.mtx.gz,2.0,2.0,2.0
e05r0100.mtx.gz,2.0,2.0,2.0
e05r0200.mtx.gz,2.0,2.0,2.0
e05r0300.mtx.gz,2.0,2.0,2.0
e05r0400.mtx.gz,2.0,2.0,2.0
fidap001.mtx.gz,2.5,2.5,1.0
fidap005.mtx.gz,2.0,2.0,2.0
fs_183_1.mtx.gz,3.0,1.5,1.5
fs_183_3.mtx.gz,3.0,1.5,1.5
fs_183_4.mtx.gz,3.0,1.5,1.5
fs_183_6.mtx.gz,3.0,1.5,1.5
fs_541_1.mtx.gz,3.0,1.5,1.5
fs_541_2.mtx.gz,3.0,1.5,1.5
fs_680_1.mtx.gz,3.0,2.0,1.0
fs_760_1.mtx.gz,3.0,2.0,1.0
gent113.mtx.gz,2.5,1.0,2.5
gr_30_30.mtx.gz,3.0,2.0,1.0
gre_1107.mtx.gz,2.0,3.0,1.0
hor__131.mtx.gz,2.0,3.0,1.0
ibm32.mtx.gz,2.0,2.0,2.0
illc1033.mtx.gz,3.0,1.5,1.5
impcol_b.mtx.gz,1.5,3.0,1.5
impcol_c.mtx.gz,3.0,1.5,1.5
impcol_d.mtx.gz,3.0,2.0,1.0
jagmesh1.mtx.gz,3.0,2.0,1.0
jagmesh2.mtx.gz,3.0,2.0,1.0
jgl009.mtx.gz,2.0,2.0,2.0
jgl011.mtx.gz,2.0,2.0,2.0
lns__131.mtx.gz,2.5,1.0,2.5
lnsp_131.mtx.gz,3.0,1.0,2.0
lop163.mtx.gz,2.0,3.0,1.0
lshp1009.mtx.gz,3.0,2.0,1.0
lshp_265.mtx.gz,2.0,3.0,1.0
lshp_406.mtx.gz,3.0,2.0,1.0
lund_a.mtx.gz,2.0,2.0,2.0
lund_b.mtx.gz,3.0,2.0,1.0
nos1.mtx.gz,1.0,2.0,3.0
nos2.mtx.gz,2.0,3.0,1.0
nos4.mtx.gz,2.0,3.0,1.0
pores_1.mtx.gz,2.0,2.0,2.0
rgg010.mtx.gz,2.0,2.0,2.0
saylr1.mtx.gz,2.0,3.0,1.0
saylr3.mtx.gz,3.0,1.0,2.0
shl__200.mtx.gz,3.0,2.0,1.0
shl__400.mtx.gz,3.0,2.0,1.0
shl____0.mtx.gz,3.0,2.0,1.0
sstmodel.mtx.gz,3.0,1.0,2.0
steam1.mtx.gz,3.0,1.0,2.0
str__200.mtx.gz,3.0,2.0,1.0
will199.mtx.gz,3.0,2.0,1.0
will57.mtx.gz,2.5,2.5,1.0
young1c.mtx.gz,3.0,2.0,1.0
